StateFIPS,CountyFIPS,GEOID,AREA (HA),y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
20,153,20153,277122.434,7.0364,17.0361,10.55436,8.99383,11.48208,5.94859,8.6279,4.58153,7.99525,11.83999,3.87532,8.61987,11.2711,9.04843,8.98366,11.17583,14.63569,12.76245,11.19704,11.0976,19.77227,11.97782,17.81824,10.48212,19.37561,11.99568,18.78363,14.41056,8.27811,4.24888,17.93741,17.18517,23.49448,20.92765,20.19848,14.13548,5.05971,8.39636
20,155,20155,329450.43,44.22898,38.53997,32.96076,29.92038,38.07586,36.63142,27.83773,28.26753,29.19014,38.91897,30.24943,33.23955,34.64612,37.58621,36.13756,39.58678,27.58571,26.99852,33.81743,31.60568,48.84713,45.37625,45.54087,38.08751,34.99409,40.99698,46.22935,53.78144,45.70395,42.28697,36.83373,37.54067,43.62516,49.27898,48.82463,37.87149,32.52283,39.67647
20,157,20157,186559.75,42.46869,41.46023,35.63592,36.47613,34.10368,34.51758,38.4614,36.16407,41.82659,42.70378,34.84334,43.92698,40.4137,44.98097,36.08166,44.02068,37.7567,39.46986,39.99184,37.2848,49.40661,35.50085,37.20813,26.15828,30.84276,32.5333,35.50131,51.82027,39.0149,31.95449,40.76119,30.06781,44.5571,36.49158,37.27314,36.5522,37.7449,41.22162
20,159,20159,188588.999,42.02155,42.34046,35.84973,31.83174,42.19753,36.29638,27.26348,20.81155,25.80037,33.47628,20.28383,28.53977,28.30831,29.04354,29.40709,33.99411,25.66149,19.13985,29.8851,31.81848,48.30094,42.90944,41.00092,31.39875,25.45728,38.77404,41.2458,58.5173,47.35704,42.30043,35.17532,36.87504,39.93044,45.13654,44.89847,28.77821,19.46579,34.03511
20,161,20161,161116.372,22.23736,18.14565,18.72013,19.74012,21.00316,17.01712,21.69325,20.23575,19.24053,24.22249,20.6409,22.28983,20.69982,28.00005,19.07024,21.36354,16.20437,18.01949,19.89974,19.6582,22.17093,20.66776,21.70165,17.72996,17.79394,21.87045,23.24322,26.79657,23.36181,21.19608,21.90888,20.89593,24.0238,23.40434,22.79174,25.01206,25.41011,26.98462
20,163,20163,231876.351,14.96117,18.59723,13.35209,11.61576,13.7468,15.42832,9.91381,5.25449,5.90103,14.0834,8.572,12.78235,9.69296,19.56414,9.42178,13.06674,11.49306,9.09371,2.7468,6.62177,14.74502,12.83041,16.36923,9.65414,15.88044,13.51841,11.48145,22.76477,13.17738,9.42879,23.93504,21.21846,24.09546,24.09557,24.83302,9.25355,9.47261,12.11374
20,165,20165,185896.907,12.57244,22.20143,12.93955,13.78855,12.0813,16.1262,9.96125,4.49829,7.47255,14.23172,4.56701,6.90245,8.48113,8.94104,8.18132,13.7997,15.25991,8.60342,8.91299,12.8623,12.48785,12.0675,13.19508,4.21637,8.41193,3.01501,9.02441,13.57699,8.03197,3.44143,12.80251,14.13944,16.48353,13.18008,11.90885,2.99697,-1.973,0.39166
20,167,20167,232947.086,11.75918,19.8936,14.56896,12.85745,17.34715,14.80344,13.58153,7.25491,7.20533,12.77498,9.71432,12.68975,11.37319,12.91441,9.35117,11.27326,10.26715,6.83305,5.81339,5.53982,10.66854,10.12709,13.66074,7.67066,10.72279,9.21761,13.09756,11.18272,7.88534,3.34761,10.03885,10.45408,12.04115,10.13026,8.81325,5.03293,1.22983,5.7089
20,169,20169,186820.204,34.54081,36.10082,29.11291,25.6486,30.5469,33.02795,23.19541,18.30315,20.11831,30.80617,16.87868,21.9741,21.58506,30.11759,16.67756,27.7502,26.97238,19.86178,22.07475,27.52703,33.58976,28.33706,29.00831,18.33049,21.93631,29.59193,30.11675,40.69225,32.98676,29.09848,24.71208,25.61999,28.71787,32.03413,33.73833,23.69534,22.06984,29.2761
20,171,20171,185899.311,33.20963,31.37641,25.96846,21.19332,6.49334,43.07155,37.15471,41.49454,53.63382,41.80731,41.21379,46.12192,58.21483,55.1973,54.85704,65.86677,62.93874,58.77818,57.20816,56.64616,82.70622,74.37413,78.66515,73.4233,74.99531,74.93877,85.01746,98.31291,78.48114,63.42491,88.62643,92.50095,93.58578,89.84512,92.27308,72.79843,65.08211,93.12849
20,173,20173,261346.749,46.06773,49.74931,38.5575,37.96383,42.0251,43.28091,39.6645,40.27379,38.57625,43.6489,40.72998,42.73128,41.89173,44.48458,40.37557,44.57668,43.35232,38.15009,42.19483,41.48625,55.47202,49.7835,48.28945,41.13905,38.60571,48.91626,49.0605,61.76145,54.39688,51.09275,38.66627,42.63669,47.1461,52.17106,50.66181,43.25925,38.00836,46.50345
20,175,20175,165811.882,29.79104,29.93597,31.82338,35.4526,30.1064,34.64619,34.01647,32.95083,33.58307,38.47152,27.94522,33.42994,40.20352,45.60442,53.20923,59.73757,65.10162,57.58167,62.87995,61.10348,74.4288,66.89261,65.73495,59.21831,51.26139,51.05457,66.00404,76.90684,71.67827,62.21614,75.55668,69.16076,63.17401,63.18565,43.11917,51.64271,41.07349,57.58902
20,177,20177,143938.805,32.03498,27.11593,27.66949,23.66315,22.64137,19.97488,20.75631,25.83389,25.12074,27.1327,26.57192,30.02877,29.85547,37.54404,32.72833,35.17081,30.57877,31.35936,32.01194,33.10973,31.66198,31.25387,33.48929,30.62743,27.82997,31.45657,33.86438,31.79659,27.83388,26.15949,30.78947,28.6104,34.12617,30.05002,28.84596,30.41609,29.61582,32.71439
20,179,20179,232141.018,10.02475,17.65394,9.27913,12.27972,15.13927,8.34195,9.12408,6.63901,11.63455,13.40035,14.10807,16.53514,13.17661,22.16334,16.07413,16.34756,11.49677,14.10719,9.12079,12.00851,29.10962,20.56624,36.96741,28.88415,37.36013,27.4578,38.66372,36.9209,28.52541,18.59605,38.90801,35.45957,58.97896,50.43317,50.69637,55.92427,49.15629,39.90392
20,181,20181,273558.33,1.28402,7.90514,2.33882,0.68635,4.06791,0.15238,11.10264,7.01713,11.10058,13.75952,13.58567,19.39399,23.19209,20.81379,18.47149,13.51967,8.17443,15.7783,6.59797,2.37522,26.22174,20.31482,20.51606,10.86791,18.39651,15.54429,12.80032,21.46933,8.58893,1.12376,15.84818,11.37596,19.5149,17.88159,19.23174,8.92589,4.41318,4.9829
20,183,20183,232285.3,19.88024,25.03227,24.27051,23.284,25.98325,24.95362,22.95335,12.5524,17.49349,19.40478,8.6706,12.04861,5.2257,11.28117,3.93958,8.80688,3.88762,10.51008,6.4489,8.02416,23.3665,15.59127,23.20348,14.12887,14.25239,12.89399,12.91248,20.1246,11.34938,7.56273,17.33296,14.62,29.1961,23.44115,26.21101,7.4594,2.77933,11.12281
20,185,20185,205878.446,38.32526,35.97686,28.87232,26.59531,28.21314,35.23879,33.24115,37.13301,40.28212,46.84303,35.05588,37.32205,39.11223,37.5924,39.9502,51.10399,45.45699,44.73529,45.20285,43.043,52.05343,42.2177,46.34163,32.36395,36.10983,39.91587,42.49363,80.91814,62.57245,52.71832,59.61165,58.23697,70.29452,63.66806,68.81213,64.24374,52.93714,58.54662
